# word	pronunciation
1.0	イッテンゼロ
1日	イチニチ
2.0	ニーテンゼロ
3Scale	スリースケール
3rd	サード
3scale	スリースケール
AAJ	エーエージェイ
ABI	エービーアイ
ACL	エーシーエル
AGL	エージーエル
AI	エーアイ
AI/ML	エーアイエムエル
AIOps	エーアイオプス
AKS	エーケーエス
AMM	エーエムエム
AMQ	エーエムキュー
AMQP	エーエムキューピー
API	エーピーアイ
AUS	エーユーエス
Access	アクセス
ActiveMQ	アクティブエムキュー
Add-On	アドオン
Adoption	アダプション
Analysis	アナリシス
Ansible	アンシブル
Apache	アパッチ
Application	アプリケーション
Argo	アルゴ
Automation	オートメーション
BPM	ビーピーエム
BPMN	ビーピーエムエヌ
BPR	ビーピーアール
BYOS	ビーワイオーエス
Bare	ベア
Based	ベースド
Bookinfo	ブックインフォ
Bucket	バケット
Bugzilla	バグジラ
Business	ビジネス
CCSP	シーシーエスピー
CDN	シーディーエヌ
CDS	シーディーエス
CEP	セップ
CI/CD	シーアイシーディ
CNI	シーエヌアイ
COVID-19	コビッドナインティーン
CVE	シーブイイー
Cause	コーズ
CentOS	セントオーエス
Ceph	セフ
Cluster	クラスター
CoE	シーオーイー
Code	コード
CodeReady	コードレディ
Compliance	コンプライアンス
Connect	コネクト
Container	コンテナ
CoreOS	コアオーエス
Corosync	コロシンク
DB	データベース
DMN	ディーエムエヌ
DRL	ディーアールエル
DX	ディーエックス
Dashboard	ダッシュボード
Data	データ
DataDog	データドック
DataGrid	データグリッド
DataOps	データオプス
Day	デイ
Decision	デシジョン
DevOps	デブオプス
DevSecOps	デブセクオプス
DevSecOps	デブセックオプス
Devfile	デブファイル
Digital	デジタル
Docker	ドッカー
Dockerfile	ドッカーファイル
Drools	ドゥルールズ
Dynamic	ダイナミック
EAP	イーエイピー
EFK	イーエフケー
EIP	イーアイピー
EKS	イーケーエス
ESB	イーエスビー
EUS	イーユーエス
Ecosystem	エコシステム
Enablement	イネーブルメント
Enterprise	エンタープライズ
Envoy	エンボイ
Excel	エクセル
Extract	エクストラクト
FFmpeg	エフエフエムペグ
Foundation	ファウンデーション
Fuse	ヒューズ
GA	ジーエー
GKE	ジーケーイー
GUI	ジーユーアイ
GitOps	ギットオプス
HA	エッチエー
HAProxy	エイチエープロキシ
HIPAA	ヒッパ
HW	ハードウェア
Hat	ハット
Hotfix	ホットフィックス
Hub	ハブ
IBM	アイビーエム
IDE	アイディーイー
ISV	アイエスブイ
ITSM	アイティーエスエム
IaaS	イァース
Infra	インフラ
Innovation	イノベーション
Insights	インサイツ
Integration	インテグレーション
IoT	アイオーティー
Istio	イスティオ
JBoss	ジェイボス
JDK	ジェイディーケー
JRE	ジェイアールイー
JVM	ジェーブイエム
Java	ジャバ
JavaEE	ジャバイーイー
Journey	ジャーニー
Jupyter	ジュピター
JupyterHub	ジュピターハブ
Kafka	カフカ
Karaf	カラフ
Keepalived	キープアライブド
Keycloak	キークローク
Knative	ケイネイティブ
Kubernetes	クバネティス
LDAP	エルダップ
Labs	ラボ
Language	ランゲージ
Linux	リナックス
LoB	ロブ
Locale	ロケール
Logging	ロギング
ML	メーリングリスト
MLOps	エムエルオプス
MLモデル	エムエルモデル
MOC	エムオーシー
