# word	pronunciation
1.0	イッテンゼロ
1日	イチニチ
2.0	ニーテンゼロ
3Scale	スリースケール
3rd	サード
3scale	スリースケール
AAJ	エーエージェイ
ABI	エービーアイ
ACL	エーシーエル
AGL	エージーエル
AI	エーアイ
AI/ML	エーアイエムエル
AIOps	エーアイオプス
AKS	エーケーエス
AMQ	エーエムキュー
AMQP	エーエムキューピー
API	エーピーアイ
AUS	エーユーエス
Access	アクセス
ActiveMQ	アクティブエムキュー
Adoption	アダプション
Analysis	アナリシス
Ansible	アンシブル
Apache	アパッチ
Application	アプリケーション
Argo	アルゴ
Automation	オートメーション
BYOS	ビーワイオーエス
Bare	ベア
Bookinfo	ブックインフォ
Bucket	バケット
Bugzilla	バグジラ
Business	ビジネス
CEP	セップ
CI/CD	シーアイシーディ
CNI	シーエヌアイ
CVE	シーブイイー
Cause	コーズ
CentOS	セントオーエス
Ceph	セフ
CoE	シーオーイー
Code	コード
CodeReady	コードレディ
Container	コンテナ
CoreOS	コアオーエス
Corosync	コロシンク
DB	データベース
DRL	ディーアールエル
DX	ディーエックス
Dashboard	ダッシュボード
Data	データ
DataDog	データドック
DataGrid	データグリッド
DataOps	データオプス
Day	デイ
Decision	デシジョン
DevOps	デブオプス
DevSecOps	デブセクオプス
DevSecOps	デブセックオプス
Devfile	デブファイル
Docker	ドッカー
Dockerfile	ドッカーファイル
Drools	ドゥルールズ
Dynamic	ダイナミック
EAP	イーエイピー
EFK	イーエフケー
EIP	イーアイピー
EKS	イーケーエス
ESB	イーエスビー
EUS	イーユーエス
Enablement	イネーブルメント
Enterprise	エンタープライズ
Envoy	エンボイ
Excel	エクセル
FFmpeg	エフエフエムペグ
Foundation	ファウンデーション
Fuse	ヒューズ
GA	ジーエー
GKE	ジーケーイー
GUI	ジーユーアイ
GitOps	ギットオプス
HA	エッチエー
HAProxy	エイチエープロキシ
HIPAA	ヒッパ
HW	ハードウェア
Hat	ハット
Hotfix	ホットフィックス
Hub	ハブ
IBM	アイビーエム
ISV	アイエスブイ
ITSM	アイティーエスエム
IaaS	イァース
Infra	インフラ
Innovation	イノベーション
Insights	インサイツ
Integration	インテグレーション
IoT	アイオーティー
Istio	イスティオ
JBoss	ジェイボス
JDK	ジェイディーケー
JVM	ジェーブイエム
Java	ジャバ
Journey	ジャーニー
Jupyter	ジュピター
Kafka	カフカ
Karaf	カラフ
Keepalived	キープアライブド
Keycloak	キークローク
Knative	ケイネイティブ
Kubernetes	クバネティス
Labs	ラボ
Language	ランゲージ
Linux	リナックス
LoB	ロブ
Logging	ロギング
ML	メーリングリスト
MLOps	エムエルオプス
MOC	エムオーシー
MRI	エムアールアイ
Maistra	マイストラ
Manager	マネージャー
Mode	モード
Monitoring	モニタリング
NFS	エヌエフエス
NIST	ニスト
NW	ネットワーク
Netscape	ネットスケープ
NewRelic	ニューレリック
Node.js	ノード・ジェイエス
Notebook	ノートブック
OCP	オーシーピー
OCS	オーシーエス
ODF	オーディーエフ
OKE	オーケーイー
OS	オーエス
OSD	オーエスディー
OSS	オーエスエス
OTA	オーティーエー
Object	オブジェクト
Open	オープン
OpenID	オープンアイディー
OpenJDK	オープンジェイディーケー
OpenSCAP	オープンスキャップ
